full_tone_period_a	full_tone_period_b	full_tone_period_c	volumeA	volumeB	volumeC	mask_a	mask_b	mask_c	full_envelope_period	envelope_shape	noise_period
0	116	209	0	11	0	1|1|0	0|1|0	0|1|0	0	0	0
0	0	249	0	0	9	1|1|0	1|1|0	0|1|0	0	0	0
866	176	313	15	15	11	0|1|0	0|1|0	0|1|0	0	0	0
1058	177	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	178	209	12	0	8	0|0|0	0|0|0	0|0|0	0	0	0
226	179	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	180	249	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	181	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	182	313	0	0	8	0|0|0	0|0|0	0|0|0	0	0	0
0	183	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	352	209	16	11	11	1|1|0	0|1|0	0|1|0	0	10	0
0	0	249	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	313	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	209	0	0	8	0|0|0	0|0|0	0|0|0	0	0	0
866	186	249	15	15	13	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	296	12	0	9	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	176	116	8	11	13	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	0	0	9	0|0|0	0|0|0	0|0|0	0	0	0
0	372	296	16	15	13	1|1|0	0|1|0	0|1|0	47	10	0
0	0	116	0	0	0	1|1|0	1|1|0	0|1|0	0	0	0
0	186	249	0	11	0	1|1|0	0|1|0	0|1|0	0	0	0
0	0	296	0	0	9	1|1|0	1|1|0	0|1|0	0	0	0
866	0	116	15	15	11	0|1|0	0|1|0	0|1|0	0	0	0
1058	187	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	188	249	12	0	8	0|0|0	0|0|0	0|0|0	0	0	0
226	189	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	190	296	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	191	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	192	116	0	0	8	0|0|0	0|0|0	0|0|0	0	0	0
0	193	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	372	249	16	11	11	1|1|0	0|1|0	0|1|0	0	10	0
0	0	296	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	116	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	0	0	8	0|0|0	0|0|0	0|0|0	0	0	0
866	76	221	15	16	11	0|1|0	0|1|0	0|1|0	0	8	0
1058	0	0	14	0	13	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	279	12	0	14	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	76	8	0	13	0|0|0	0|0|0	0|0|0	0	0	0
